Description;demarche en ligne;compte ou espace personnel;telephone;e-mail;accueil;courrier;reseaux sociaux;Description_2;Description_3;clusters
j y travaille ;0;0;0;0;0;;;[];;0
franchement bravo a toute l equipe qui a ete a mon ecoute et mon dossier n etait vraiment pas facile de l acceuil aux referents une equipe formidable  md allard  mr kevin   le responsable d equipe la dame au cheveux boucles noir toujours avec le sourire  le mr de l acceuil avec des lunette et une barbe j ai toujours ete bien recue et accompagnee un grand merci      ;0;0;0;0;1;;;['equip', 'dossi', 'acceuil', 'equip', 'formid', 'md', 'allard', 'mr', 'kevin', 'respons', 'equip', 'cheveux', 'boucl', 'noir', 'sourir', 'mr', 'acceuil', 'lunet', 'barb', 'accompagne'];equip dossi acceuil equip formid md allard mr kevin respons equip cheveux boucl noir sourir mr acceuil lunet barb accompagne;-1
pas de suivie   on se fou des gent  aucun service ;0;0;0;0;0;;;['fou', 'gent'];fou gent;0
gros probleme d indemnisation a cause de mon employeur  j ai eu a faire a 2 dames a l accueil qui ont ete super  gentille  bienveillante   au moins quelqu un qui ont pris mes soucis au serieux   le 3949 a par s en prendre plein la tete jme demande bien a quoi ils servent  en tout cas je remercie vraiment l equipe de pole emploi digne  ;0;0;1;0;1;;;['indemnis', 'employeur', 'gentill', 'souc', '3949', 'tet', 'jme', 'equip', 'dign'];indemnis employeur gentill souc 3949 tet jme equip dign;0
accueil   irreprochable    ;0;0;0;0;1;;;['irreproch'];irreproch;-1
des incapables pas professionnel  1y pour les avoir au telephone et apres elle se permet de traiter les gens de mauvaise fois pour leur incapacite franchement a fuir;0;0;1;0;0;;;['1y', 'incapacit', 'fuir'];1y incapacit fuir;0
    en periode de covid 19    l organisation est impeccable        masque   obligatoire et gel hydroalcolique a disposition    les retards sont bien geres    le personnel    vraiment professionnel    allez y vraiment sans stress     ;0;0;0;0;1;;;['covid', '19', 'impecc', 'masqu', 'gel', 'hydroalcol', 'retard', 'stress'];covid 19 impecc masqu gel hydroalcol retard stress;5
bonne agence   bonne prise en charge de mon dossier conseiller a l ecoute et competent    contrairement a l agence dijon  est de quetigny   une catastrophe  ;0;0;0;0;1;;;['dossi', 'competent', 'dijon', 'quetigny'];dossi competent dijon quetigny;0
je trouve que l on critique beaucoup les conseillers pole emploi et les services proposes par cette administration  mais moi depuis que je suis inscrite  j ai toujours ete bien accueillie et conseillee par les conseillers pole emploi   ils font ce qu ils peuvent et c est pas toujours evident    ;0;0;0;0;1;;;['critiqu', 'administr', 'inscrit', 'conseille'];critiqu administr inscrit conseille;-1
l acces est tres simple les conseillers sont tres competant et souriant;0;0;0;0;1;;;['compet', 'souri'];compet souri;0
structure nationale tristement celebre pour son inefficacite au fil des annees;0;0;0;0;1;;;['structur', 'national', 'trist', 'celebr', 'inefficacit', 'fil'];structur national trist celebr inefficacit fil;1
discute alors qu on tente de joindre quelqu un  pour que l on s actualise  il faut se depecher par contre quand on a besoin de leur service    j aimerai bien voir tous ces gens dans l industrie    ils ne feraient pas long feu   ;0;0;0;0;0;;;['discut', 'depech', 'industr', 'feu'];discut depech industr feu;0
desagreable et mauvais  si vous n avez besoin de rien appelez les    et au passage perder 3 4 heures au telephone ;0;0;1;0;0;;;['mauv', 'appel', 'passag', 'perd'];mauv appel passag perd;-1
periode d essai en droit francais pour le salarie ne veut strictement rien dire   j aurai du rester au chomage aujourd hui j aurai tjs droit a l are mais j ai voulu essayer  tenter de sortir de cette situation mais je n aurai pas du aujourd hui j en paie les consequences     merci  ;0;0;0;0;0;;;['strict', 'chomag', 'tj', 'tent', 'pai'];strict chomag tj tent pai;-1
c est indique ouvert le lundi 31 octobre sur internet puis arrivee devant la porte il est notifie que l agence est ferme  le 31 10 n est pas un jour ferie  ;1;0;0;0;1;;;['ouvert', 'lund', '31', 'internet', 'arrive', 'ferm', '31'];ouvert lund 31 internet arrive ferm 31;0
not happy at all  counselor doesnt give consult but insult counselor doesnt present herself and does not pay attention if we dont understand her at all counselor doesnt answer questions and simply the time is up even if the whole session was only me staring at the counselor who seemed to be occupied by the computer the service does not change at all  even 10 or 20 years passed  can safely say that they dont really do their jobs which is to give advice and guidance on findinv a job   pas content du tout  le conseiller ne donne pas de consultation mais insulte la conseillere ne se presente pas et ne fait pas attention si nous ne la comprenons pas du tout le conseiller ne repond pas aux questions et le temps est simplement ecoule  meme si toute la session n etait que moi regardant le conseiller qui semblait etre occupe par l ordinateur le service ne change pas du tout  meme 10 ou 20 ans se sont ecoules   peut dire en toute securite qu il ne fait pas vraiment son travail  c est a dire donner des conseils et des orientations sur chercher un emploi ;0;0;0;0;0;;;['happy', 'at', 'all', 'counselor', 'doesnt', 'giv', 'but', 'insult', 'counselor', 'doesnt', 'herself', 'and', 'do', 'pay', 'if', 'we', 'understand', 'her', 'at', 'all', 'counselor', 'doesnt', 'answer', 'and', 'simply', 'the', 'tim', 'is', 'up', 'even', 'if', 'the', 'whol', 'session', 'was', 'only', 'staring', 'at', 'the', 'counselor', 'who', 'seemed', 'to', 'be', 'occupied', 'by', 'the', 'comput', 'the', 'do', 'at', 'all', 'even', 'year', 'passed', 'can', 'safely', 'say', 'that', 'they', 'really', 'do', 'their', 'job', 'which', 'is', 'to', 'giv', 'advic', 'and', 'guidanc', 'findinv', 'job', 'content', 'insult', 'comprenon', 'ecoul', 'session', 'regard', 'sembl', 'occup', 'ecoul', 'securit', 'orient'];happy at all counselor doesnt giv but insult counselor doesnt herself and do pay if we understand her at all counselor doesnt answer and simply the tim is up even if the whol session was only staring at the counselor who seemed to be occupied by the comput the do at all even year passed can safely say that they really do their job which is to giv advic and guidanc findinv job content insult comprenon ecoul session regard sembl occup ecoul securit orient;2
0 lieu de recherche d emploi pour les chomeurs;0;0;0;0;0;;;[];;0
l efficacite legendaire de pole emploi  aucune ecoute  aucun conseil pour vous aider a trouver l emploi que vous recherchez  ici vous n etes qu un numero de dossier  le but n est pas votre epanouissement au travail mais de vous envoyer rapidement vers un patron quelconque pour ployer le genou  en periode de crise  on menace des demandeurs d emploi modeles qui ont travaille toute leur vie avant de subir la crise de leur retirer leurs droits s ils ne rentrent pas dans les cases alors que la france donne gratuitement  sans aucun travail en retour  des aides a toute une partie de la population  vous n avez pas le droit de preparer au mieux votre reinsertion professionnelle pour la sortie de la crise puisque vous devez prestement abandonner le chomage pour lequel vous avez cotise afin de trouver un emploi a des annees lumieres de ce que vous recherchez  je ne sais pas combien on vous paye  mais pour des gens dont le cur de metier est l emploi  un travail d une telle mediocrite est une honte  sans parler de votre condescendance lors des echanges  il faut se ressaisir ;0;0;0;0;0;;;['efficacit', 'legendair', 'dossi', 'but', 'epanou', 'patron', 'quelconqu', 'ploi', 'genou', 'cris', 'model', 'sub', 'cris', 'retir', 'rentrent', 'cas', 'gratuit', 'popul', 'prepar', 'reinsert', 'cris', 'prest', 'abandon', 'chomag', 'lequel', 'lumier', 'combien', 'pay', 'cur', 'tel', 'mediocrit', 'condescend', 'ressais'];efficacit legendair dossi but epanou patron quelconqu ploi genou cris model sub cris retir rentrent cas gratuit popul prepar reinsert cris prest abandon chomag lequel lumier combien pay cur tel mediocrit condescend ressais;0
bon accueil ;0;0;0;0;1;;;[];;0
ca fait trois fois que je viens pour motif de changement des indemnisations on m a dit trois quelque chose de different les gens ont l air competents pourtant l information est peut etre mal transmise ou pas du tout  formez vos collaborateurs    ;0;0;0;0;1;;;['indemnis', 'air', 'competent', 'collabor'];indemnis air competent collabor;-1
lors de son appel la conseillere ne s interesse pas vraiment a mon projet professionnel  elle ne demande aucun renseignement aucun justificatif  et me dit qu il faut que je fasse paye ma formation avec mon cpf car le pole emploi ne payera pas  et attention on me dirige vers une formation qui a rien a voir avec ce que je veux faire et mes competences  encore une fois tres decu  je me demande a quoi sert ce truc au final  le pole emploi a juste contribue a me garder au chomage  en voulant m oriente vers ce qui les arranges et non pas par ce qui me plaie et faire ;0;0;1;0;0;;;['appel', 'justif', 'fass', 'pay', 'format', 'cpf', 'pai', 'dirig', 'format', 'truc', 'contribu', 'gard', 'chomag', 'orient', 'arrang', 'plai'];appel justif fass pay format cpf pai dirig format truc contribu gard chomag orient arrang plai;3
seul inconvenienteniant et pas des moindres  les courriers automatiques de menaces auxquelles il faut repondre alors que le dossier est a jour ;0;0;0;1;0;;;['inconvenienteni', 'moindr', 'courri', 'auxquel', 'dossi'];inconvenienteni moindr courri auxquel dossi;-1
j ai ete inscrite a cette agence en aout 2022 suivi par une dame  dont je ne mentionnerais pas le nom  que je n ai  entre autres  jamais rencontrer    je possede a ce jour une rqth et une oeth qui de ce fait normalement doit etre suivi par cap emploi   mais cap emploi justement    parlons en   un organisme qui doit aider et accompagner les personnes en situation de handicap mais qui n ai autres qu un organisme finance par l etat et qui ne sert a rien   car a l heure d aujourd hui il fusionne avec cette organisme d incompetents qui n ai autre que pole emploi    en 6 mois ils m ont proposer une sorte de formation  bilan de competences  avec archer    bilan  qui n a servi a rien car en sachant qu auparavant j avais deja effectue un bilan de competences financer par la cpam    j ai recontacter par la suite ma conseillere pole emploi qui m a inviter a me presenter a l agence des lors que des offres d emploi ou de formations ce presenterait dans n importe quelles domaines    en sachant que justement je ne peux travailler dans n importe quelles secteurs    du grand n importe quoi   ne comptez absolument pas sur eux pour trouver un emploi  ;0;0;0;0;1;;;['inscrit', 'possed', 'rqth', 'oeth', 'cap', 'cap', 'just', 'parlon', 'handicap', 'financ', 'fusion', 'incompetent', 'format', 'archer', 'serv', 'auparav', 'financ', 'cpam', 'recontact', 'invit', 'offre', 'format', 'domain', 'just', 'secteur', 'compt'];inscrit possed rqth oeth cap cap just parlon handicap financ fusion incompetent format archer serv auparav financ cpam recontact invit offre format domain just secteur compt;3
le personel manque vraiment d empathie envers les personnes inscrits au pole emploi aucune discretion concernant le traitement de nos donnees personnelles on demande aux conseilleres une aide sur les ordinateurs concernent notre espace personnel documents a scanner ect ect on a l impression de les deranger plus qu autre chose    aucun sourire c est a peine si on vous dit bonjour  je suis profondement choquee par ce manque de politesse et de discretion  vraiment il manque une formation a ce personel sur le site romans;0;1;0;0;1;;;['personel', 'empath', 'enver', 'inscrit', 'discret', 'concernent', 'docu', 'ect', 'ect', 'impress', 'derang', 'sourir', 'profond', 'choque', 'politess', 'discret', 'format', 'personel', 'roman'];personel empath enver inscrit discret concernent docu ect ect impress derang sourir profond choque politess discret format personel roman;2
j ai ete au pole emploi de romans pour m inscrire au plan d aide de recherche d emploi pour les 18 25 ans  lors de l entretien  le conseiller me demande mes origines  bien que cette question soit peu approprie  je n y ai vu aucun mal et j ai aimablement repondu que je suis antillais  suite a ca j ai eu le droit a des remarques desobligeantes du genre  par contre il faut que vous soyez vif  parceque vous les antillais c est doucement le matin  pas trop vite l apres midi     j etais choque  a present j ai 25 ans  cela fait maintenant 4 ans que j attend leurs pseudo  aide  que je n ai jamais obtenu meme apres l obtentionde mon caces 1 3 5  mon dossier a surement ete  perdu   et meme si je ne sais pas comment il s est perdu je sais tres bien pourquoi ;0;0;0;0;1;;;['roman', 'plan', '18', 'origin', 'appropr', 'aimabl', 'antill', 'remarqu', 'desoblig', 'vif', 'parcequ', 'antill', 'douc', 'choqu', 'attend', 'pseudo', 'obtenu', 'obtentiond', 'cac', 'dossi', 'sur'];roman plan 18 origin appropr aimabl antill remarqu desoblig vif parcequ antill douc choqu attend pseudo obtenu obtentiond cac dossi sur;0
serieusement  les conseillers s en foutent royalement de vous ici  ils ne t aident ni a trouver un emploi ni rien ;0;0;0;0;0;;;['foutent', 'royal', 'aident'];foutent royal aident;-1
